siteID	trapID	latitude_WGS84	longitude_WGS84	Locality		trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
92	T4TJQT	68.016891	18.393688	SE, Lappland, Kiruna kommun, Nallostugan		alpine	Single_trap	NA	NA	NA	NA	NA
93	TYRKAV	68.27946	18.53027	SE, Lappland, Kiruna kommun, Huvkim		alpine	Single_trap	NA	NA	NA	179	NA
94	TR9HSR	68.34207	19.1331	SE, Lappland, Kiruna kommun, Vuoskkonjárga		forest	Single_trap	forest	618	1	179	NA
95	T9MYFJ	68.35297	18.52717	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	1	183	NA
95	TGATIM	68.35346	18.53316	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	12	181	NA
95	TRNGSD	68.35452	18.54391	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	10	186	NA
95	TE8FGF	68.35659	18.54587	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	9	184	NA
95	TSJUPI	68.35896	18.54703	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	NA	182	NA
95	T2LIWT	68.35868	18.53085	SE, Lappland, Kiruna kommun, Latnjaèorru		alpine	Multitrap	alpine	617	3	186	NA
96	TSTZUY	68.35471	18.80928	SE, Lappland, Kiruna kommun, Abisko		wetland	Single_trap	NA	NA	NA	180	NA
97	TPEZUL	68.35964	18.4937	SE, Lappland, Kiruna kommun, Latnjajávri		alpine	Single_trap	NA	NA	NA	184	NA
98	TUQ4KK_1	67.62057	20.15471	SE, Lappland, Gällivare kommun, Lappberg		alpine	Single_trap	NA	NA	NA	NA	this trap has moved location from wind farm to a wetland. The trap_code has been changed to reflect this
99	TCMKFJ	65.8724048	19.3600827	NA		forest	Multitrap	forest	506	3	190	CANCELLED
99	TDPRNI	65.8689655	19.3638546	NA		forest	Multitrap	forest	506	12	180	CANCELLED
99	TEHHBJ	65.8683791	19.3689196	NA		forest	Multitrap	forest	506	11	170	CANCELLED
99	TV2QKF	65.870273	19.3600663	NA		forest	Multitrap	forest	506	2	180	CANCELLED
100	TJBXIG	65.962231	16.049839	NA		wetland	Single_trap	NA	NA	NA	180	CANCELLED
