sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
TPUCG4_L	TPUCG4	litter	26-06-2019	01:55:00_PM	ERS18959116	sample processed and sequenced
TS1LPT_L	TS1LPT	litter	21-07-2019	01:55:00_PM	ERS18959134	sample processed and sequenced
TS6VW9_L	TS6VW9	litter	20-07-2019	02:10:00_PM	ERS18959138	sample processed and sequenced
TSFXCZ_L	TSFXCZ	litter	22-07-2019	08:05:00_AM	ERS18959144	sample processed and sequenced
TSKEKT_L	TSKEKT	litter	09-07-2019	09:50:00_AM	ERS18959148	sample processed and sequenced
TTE4BQ_L	TTE4BQ	litter	03-07-2019	10:45:00_AM	ERS18959162	sample processed and sequenced
TU2YW9_L	TU2YW9	litter	16-07-2019	08:50:00_AM	ERS18959168	sample processed and sequenced
TWFXXZ_L	TWFXXZ	litter	02-07-2019	07:00:00_PM	ERS18959196	sample processed and sequenced
TWQDCF_L	TWQDCF	litter	01-07-2019	02:10:00_PM	ERS18959202	sample processed and sequenced
TZRRMG_L	TZRRMG	litter	17-07-2019	02:35:00_PM	ERS18959238	sample processed and sequenced
TZVTYZ_L	TZVTYZ	litter	02-07-2019	09:00:00_AM	ERS18959240	sample processed and sequenced
T1QLZR_L	T1QLZR	litter	17-07-2019	12:30:00_PM	ERS18958875	sample processed and sequenced
TCIHNW_L	TCIHNW	litter	26-07-2019	04:30:00_PM	ERS18958955	sample processed and sequenced
TCMKFJ_L	TCMKFJ	litter	10-07-2019	01:55:00_PM	ERS18958957	sample processed and sequenced
TFFDRE_L	TFFDRE	litter	19-07-2019	01:00:00_PM	ERS18958987	sample processed and sequenced
TGCHAV_L	TGCHAV	litter	19-07-2019	03:30:00_PM	ERS18959007	sample processed and sequenced
THBEZ5_L	THBEZ5	litter	03-07-2019	04:15:00_PM	ERS18959015	sample processed and sequenced
TIAIK1_L	TIAIK1	litter	17-07-2019	10:30:00_AM	ERS18959030	sample processed and sequenced
TIRXWF_L	TIRXWF	litter	16-07-2019	03:00:00_PM	ERS18959034	sample processed and sequenced
